snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
0.900000000000003,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
0.900000000000003,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
0.900000000000003,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
0.6000000000000032,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
0.6000000000000032,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
0.6000000000000032,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
0.6000000000000032,7000.0,8000.0,7000-8000,7000-8000_speaker,124,125,False
0.3000000000000034,15000.0,16000.0,15000-16000,15000-16000_speaker,122,125,False
0.3000000000000034,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
0.3000000000000034,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
0.3000000000000034,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
3.552713678800501e-15,15000.0,16000.0,15000-16000,15000-16000_speaker,122,125,False
3.552713678800501e-15,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
3.552713678800501e-15,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
3.552713678800501e-15,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-0.29999999999999627,15000.0,16000.0,15000-16000,15000-16000_speaker,123,125,False
-0.29999999999999627,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-0.29999999999999627,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-0.29999999999999627,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-0.5999999999999961,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-0.5999999999999961,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-0.5999999999999961,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-0.5999999999999961,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-0.8999999999999959,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
-0.8999999999999959,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-0.8999999999999959,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-0.8999999999999959,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-1.1999999999999957,15000.0,16000.0,15000-16000,15000-16000_speaker,125,125,True
-1.1999999999999957,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
-1.1999999999999957,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-1.1999999999999957,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-1.4999999999999956,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
-1.4999999999999956,2000.0,3000.0,2000-3000,2000-3000_speaker,125,125,True
