,x,y
my_files/mic1_cx63.418681_cy10.407074_synced.WAV,0.0,0.0
my_files/mic2_cx63.418972_cy10.406313_synced.WAV,-37.9070,32.3941
my_files/mic3_cx63.419278_cy10.406895_synced.WAV,-8.9164,66.4580
my_files/mic4_cx63.418987_cy10.407657_synced.WAV,29.0404,34.0639
